transaction_id,amount,status,city,branch,date,timestamp
Bangalore_Branch1_0001,974.03,SUCCESS,Bangalore,Bangalore_Branch1,2025-05-02,2025-05-07 22:37:55
Bangalore_Branch1_0002,2729.84,PENDING,Bangalore,Bangalore_Branch1,2025-05-07,2025-05-07 22:37:55
Bangalore_Branch1_0003,2078.84,PENDING,Bangalore,Bangalore_Branch1,2025-05-03,2025-05-07 22:37:55
Bangalore_Branch1_0004,1688.82,SUCCESS,Bangalore,Bangalore_Branch1,2025-05-06,2025-05-07 22:37:55
Bangalore_Branch1_0005,3761.54,SUCCESS,Bangalore,Bangalore_Branch1,2025-05-05,2025-05-07 22:37:55
Bangalore_Branch1_0006,3002.47,SUCCESS,Bangalore,Bangalore_Branch1,2025-05-03,2025-05-07 22:37:55
Bangalore_Branch1_0007,2031.0,PENDING,Bangalore,Bangalore_Branch1,2025-05-04,2025-05-07 22:37:55
Bangalore_Branch1_0008,4610.07,FAILED,Bangalore,Bangalore_Branch1,2025-05-05,2025-05-07 22:37:55
Bangalore_Branch1_0009,1954.96,FAILED,Bangalore,Bangalore_Branch1,2025-05-04,2025-05-07 22:37:55
Bangalore_Branch1_0010,2956.28,SUCCESS,Bangalore,Bangalore_Branch1,2025-05-03,2025-05-07 22:37:55
Bangalore_Branch1_0011,364.84,SUCCESS,Bangalore,Bangalore_Branch1,2025-05-03,2025-05-07 22:37:55
Bangalore_Branch1_0012,4719.17,SUCCESS,Bangalore,Bangalore_Branch1,2025-05-01,2025-05-07 22:37:55
Bangalore_Branch1_0013,1406.8,PENDING,Bangalore,Bangalore_Branch1,2025-05-01,2025-05-07 22:37:55
Bangalore_Branch1_0014,105.04,FAILED,Bangalore,Bangalore_Branch1,2025-05-07,2025-05-07 22:37:55
Bangalore_Branch1_0015,2549.84,FAILED,Bangalore,Bangalore_Branch1,2025-05-01,2025-05-07 22:37:55
Bangalore_Branch1_0016,3576.54,PENDING,Bangalore,Bangalore_Branch1,2025-05-04,2025-05-07 22:37:55
Bangalore_Branch1_0017,793.79,SUCCESS,Bangalore,Bangalore_Branch1,2025-05-03,2025-05-07 22:37:55
Bangalore_Branch1_0018,3199.61,PENDING,Bangalore,Bangalore_Branch1,2025-05-02,2025-05-07 22:37:55
Bangalore_Branch1_0019,840.64,SUCCESS,Bangalore,Bangalore_Branch1,2025-05-05,2025-05-07 22:37:55
Bangalore_Branch1_0020,1585.0,SUCCESS,Bangalore,Bangalore_Branch1,2025-05-01,2025-05-07 22:37:55
Bangalore_Branch1_0021,596.24,FAILED,Bangalore,Bangalore_Branch1,2025-05-05,2025-05-07 22:37:55
