transaction_id,amount,status,city,branch,date,timestamp
Chennai_Branch3_0001,4446.94,SUCCESS,Chennai,Chennai_Branch3,2025-05-01,2025-05-07 22:37:55
Chennai_Branch3_0002,3609.44,PENDING,Chennai,Chennai_Branch3,2025-05-04,2025-05-07 22:37:55
Chennai_Branch3_0003,3491.73,SUCCESS,Chennai,Chennai_Branch3,2025-05-02,2025-05-07 22:37:55
Chennai_Branch3_0004,2215.33,FAILED,Chennai,Chennai_Branch3,2025-05-07,2025-05-07 22:37:55
Chennai_Branch3_0005,1553.08,SUCCESS,Chennai,Chennai_Branch3,2025-05-02,2025-05-07 22:37:55
Chennai_Branch3_0006,1910.44,PENDING,Chennai,Chennai_Branch3,2025-05-02,2025-05-07 22:37:55
Chennai_Branch3_0007,1796.38,SUCCESS,Chennai,Chennai_Branch3,2025-05-02,2025-05-07 22:37:55
Chennai_Branch3_0008,2017.57,SUCCESS,Chennai,Chennai_Branch3,2025-05-01,2025-05-07 22:37:55
Chennai_Branch3_0009,997.86,FAILED,Chennai,Chennai_Branch3,2025-05-02,2025-05-07 22:37:55
Chennai_Branch3_0010,4415.1,SUCCESS,Chennai,Chennai_Branch3,2025-05-03,2025-05-07 22:37:55
Chennai_Branch3_0011,4298.71,SUCCESS,Chennai,Chennai_Branch3,2025-05-03,2025-05-07 22:37:55
Chennai_Branch3_0012,2740.49,SUCCESS,Chennai,Chennai_Branch3,2025-05-01,2025-05-07 22:37:55
Chennai_Branch3_0013,118.33,SUCCESS,Chennai,Chennai_Branch3,2025-05-02,2025-05-07 22:37:55
Chennai_Branch3_0014,4393.4,FAILED,Chennai,Chennai_Branch3,2025-05-07,2025-05-07 22:37:55
Chennai_Branch3_0015,2782.16,FAILED,Chennai,Chennai_Branch3,2025-05-05,2025-05-07 22:37:55
Chennai_Branch3_0016,1923.83,SUCCESS,Chennai,Chennai_Branch3,2025-05-01,2025-05-07 22:37:55
Chennai_Branch3_0017,2719.42,SUCCESS,Chennai,Chennai_Branch3,2025-05-02,2025-05-07 22:37:55
Chennai_Branch3_0018,286.95,FAILED,Chennai,Chennai_Branch3,2025-05-03,2025-05-07 22:37:55
Chennai_Branch3_0019,3361.56,SUCCESS,Chennai,Chennai_Branch3,2025-05-07,2025-05-07 22:37:55
Chennai_Branch3_0020,3796.91,FAILED,Chennai,Chennai_Branch3,2025-05-02,2025-05-07 22:37:55
Chennai_Branch3_0021,3432.17,FAILED,Chennai,Chennai_Branch3,2025-05-04,2025-05-07 22:37:55
Chennai_Branch3_0022,3018.36,PENDING,Chennai,Chennai_Branch3,2025-05-07,2025-05-07 22:37:55
Chennai_Branch3_0023,2415.89,FAILED,Chennai,Chennai_Branch3,2025-05-04,2025-05-07 22:37:55
Chennai_Branch3_0024,3029.5,FAILED,Chennai,Chennai_Branch3,2025-05-06,2025-05-07 22:37:55
Chennai_Branch3_0025,483.22,PENDING,Chennai,Chennai_Branch3,2025-05-01,2025-05-07 22:37:55
Chennai_Branch3_0026,878.64,PENDING,Chennai,Chennai_Branch3,2025-05-07,2025-05-07 22:37:55
Chennai_Branch3_0027,127.43,FAILED,Chennai,Chennai_Branch3,2025-05-04,2025-05-07 22:37:55
Chennai_Branch3_0028,4794.49,PENDING,Chennai,Chennai_Branch3,2025-05-05,2025-05-07 22:37:55
Chennai_Branch3_0029,2222.6,FAILED,Chennai,Chennai_Branch3,2025-05-01,2025-05-07 22:37:55
Chennai_Branch3_0030,540.7,SUCCESS,Chennai,Chennai_Branch3,2025-05-06,2025-05-07 22:37:55
Chennai_Branch3_0031,1505.11,PENDING,Chennai,Chennai_Branch3,2025-05-05,2025-05-07 22:37:55
Chennai_Branch3_0032,2977.01,SUCCESS,Chennai,Chennai_Branch3,2025-05-04,2025-05-07 22:37:55
Chennai_Branch3_0033,334.48,FAILED,Chennai,Chennai_Branch3,2025-05-03,2025-05-07 22:37:55
